feature,protlabels
TYMP,METABOLISM
GRAP2,METABOLISM
LILRA5,METABOLISM
ALDH1A1,METABOLISM
CD79B,METABOLISM
ANXA4,METABOLISM
ANXA11,METABOLISM
SIGLEC7,METABOLISM
ITGB7,METABOLISM
QDPR,METABOLISM
SNAP23,METABOLISM
APEX1,METABOLISM
ENTPD5,METABOLISM
CLSTN2,METABOLISM
COMT,METABOLISM
CLUL1,METABOLISM
HDGF,METABOLISM
CHRDL2,METABOLISM
CTSH,METABOLISM
NOMO1,METABOLISM
NQO2,METABOLISM
SOST,METABOLISM
FAM3C,METABOLISM
TXNDC5,METABOLISM
PPP1R2,METABOLISM
DPP7,METABOLISM
LRP11,METABOLISM
ADGRE2,METABOLISM
ENPP7,METABOLISM
SSC4D,METABOLISM
MCFD2,METABOLISM
REG4,METABOLISM
SUMF2,METABOLISM
CANT1,METABOLISM
CD1C,METABOLISM
GAL,METABOLISM
CDH2,METABOLISM
TYRO3,METABOLISM
CRKL,METABOLISM
IGFBPL1,METABOLISM
RTN4R,METABOLISM
VCAN,METABOLISM
FBP1,METABOLISM
TSHB,METABOLISM
BAG6,METABOLISM
NECTIN2,METABOLISM
ARG1,METABOLISM
USP8,METABOLISM
FKBP4,METABOLISM
SDC4,METABOLISM
PAG1,METABOLISM
KYAT1,METABOLISM
DAB2,METABOLISM
NPDC1,METABOLISM
METRNL,METABOLISM
MEP1B,METABOLISM
ROR1,METABOLISM
NT.proBNP.1,METABOLISM
RNASE3,METABOLISM
NMNAT1,NEUROLOGY
NRP2,NEUROLOGY
CADM3,NEUROLOGY
GDNF.1,NEUROLOGY
UNC5C,NEUROLOGY
VWC2,NEUROLOGY
Siglec.9,NEUROLOGY
CLM.6,NEUROLOGY
EZR,NEUROLOGY
SMOC2,NEUROLOGY
NBL1,NEUROLOGY
EFNA4,NEUROLOGY
SCARB2,NEUROLOGY
NCAN,NEUROLOGY
PRTG,NEUROLOGY
ROBO2,NEUROLOGY
CRTAM,NEUROLOGY
RGMA,NEUROLOGY
PLXNB3,NEUROLOGY
CPA2,NEUROLOGY
CD38,NEUROLOGY
SMPD1,NEUROLOGY
MSR1,NEUROLOGY
Alpha.2.MRAP,NEUROLOGY
sFRP.3,NEUROLOGY
EPHB6,NEUROLOGY
RGMB,NEUROLOGY
SIGLEC1,NEUROLOGY
CNTN5,NEUROLOGY
ADAM.22,NEUROLOGY
CLEC1B,NEUROLOGY
ADAM.23,NEUROLOGY
MATN3,NEUROLOGY
RSPO1,NEUROLOGY
HAGH,NEUROLOGY
LXN,NEUROLOGY
gal.8,NEUROLOGY
BCAN,NEUROLOGY
LAYN,NEUROLOGY
NEP,NEUROLOGY
GDF.8,NEUROLOGY
THY.1,NEUROLOGY
WFIKKN1,NEUROLOGY
TMPRSS5,NEUROLOGY
CDH3,NEUROLOGY
GFR.alpha.1,NEUROLOGY
GM.CSF.R.alpha,NEUROLOGY
Beta.NGF.1,NEUROLOGY
SCARA5,NEUROLOGY
CD200,NEUROLOGY
NTRK2,NEUROLOGY
GZMA,NEUROLOGY
G.CSF,NEUROLOGY
DRAXIN,NEUROLOGY
SCARF2,NEUROLOGY
GDNFR.alpha.3,NEUROLOGY
PVR,NEUROLOGY
TNFRSF12A,NEUROLOGY
SKR3,NEUROLOGY
FLRT2,NEUROLOGY
CPM,NEUROLOGY
CLEC10A,NEUROLOGY
GCP5,NEUROLOGY
BMP.4,NEUROLOGY
FcRL2,NEUROLOGY
MDGA1,NEUROLOGY
IL.5R.alpha,NEUROLOGY
PDGF.R.alpha,NEUROLOGY
CTSC,NEUROLOGY
CDH6,NEUROLOGY
DDR1,NEUROLOGY
JAM.B,NEUROLOGY
CTSS,NEUROLOGY
N.CDase,NEUROLOGY
NAAA,NEUROLOGY
N2DL.2,NEUROLOGY
PLXNB1,NEUROLOGY
TNFRSF21,NEUROLOGY
CLM.1,NEUROLOGY
SPOCK1,NEUROLOGY
IL12,NEUROLOGY
Dkk.4,NEUROLOGY
EDA2R,NEUROLOGY
LAT,NEUROLOGY
NTRK3,NEUROLOGY
LAIR.2,NEUROLOGY
MANF,NEUROLOGY
TN.R,NEUROLOGY
CD200R1,NEUROLOGY
Nr.CAM,NEUROLOGY
KYNU,NEUROLOGY
TXLNA,ONCOLOGY
VEGFA.1,ONCOLOGY
CPE,ONCOLOGY
KLK13,ONCOLOGY
CEACAM1,ONCOLOGY
MSLN,ONCOLOGY
TNFSF13,ONCOLOGY
EGF,ONCOLOGY
TNFRSF6B,ONCOLOGY
SYND1,ONCOLOGY
TGFR.2,ONCOLOGY
IL6.3,ONCOLOGY
CD48,ONCOLOGY
SCAMP3,ONCOLOGY
LY9,ONCOLOGY
IFN.gamma.R1,ONCOLOGY
ITGAV,ONCOLOGY
TRAIL.1,ONCOLOGY
hK11,ONCOLOGY
GPC1,ONCOLOGY
TFPI.2,ONCOLOGY
hK8,ONCOLOGY
VEGFR.2,ONCOLOGY
LYPD3,ONCOLOGY
PODXL,ONCOLOGY
S100A4,ONCOLOGY
IGF1R,ONCOLOGY
ERBB2,ONCOLOGY
ERBB3,ONCOLOGY
SCF.2,ONCOLOGY
SPARC,ONCOLOGY
GZMH,ONCOLOGY
TGF.alpha.1,ONCOLOGY
FURIN,ONCOLOGY
CYR61,ONCOLOGY
hK14,ONCOLOGY
FADD,ONCOLOGY
MetAP.2,ONCOLOGY
PVRL4,ONCOLOGY
FASLG,ONCOLOGY
EPHA2,ONCOLOGY
